18	2024-08	2	65768	330458772.60	5024.613377	3295386.92	9999.81	1.04	2881.1784027125946
22	2025-05	1	65764	330448244.00	5024.758895	3288434.17	9999.80	1.12	2892.521972644006
23	2025-05	0	65603	330200555.29	5033.314868	3276175.50	9999.94	1.05	2885.2867268734913
27	2025-03	1	65792	330124481.89	5017.699445	3298050.52	9999.88	1.01	2882.701285280433
33	2024-08	2	65839	329954043.52	5011.528783	3296261.05	9999.95	1.08	2884.0934065678452
8	2024-08	3	65777	329941448.47	5016.061062	3284548.44	9999.94	1.01	2885.917012043639
14	2025-01	1	65811	329931309.85	5013.315553	3295332.60	9999.95	1.01	2889.6124899145857
8	2024-10	6	65882	329881485.36	5007.156513	3281566.72	9999.98	1.30	2876.8211878541765
3	2024-10	2	65967	329469465.57	4994.458829	3294892.89	9999.90	1.15	2885.520371666848
27	2024-08	0	65693	329429060.15	5014.675234	3279629.77	9999.97	1.07	2891.8734775500557
13	2024-12	0	65533	329413322.22	5026.678501	3275324.69	9999.81	1.03	2882.461743954761
23	2024-10	5	65982	329385292.13	4992.047712	3291929.57	9999.99	1.09	2885.67500738446
3	2024-12	3	65741	329358222.42	5009.936302	3286541.83	9999.80	1.46	2893.7011877989394
18	2025-03	1	65792	329354115.79	5005.990330	3293438.35	9999.96	1.04	2887.324927641568
4	2024-12	3	65438	329285990.50	5032.030174	3264919.72	9999.96	1.31	2888.367170352534
28	2025-01	5	65730	329210798.40	5008.531848	3283166.63	9999.92	1.02	2886.9404051096567
33	2024-08	7	65667	329180518.26	5012.875847	3268803.86	9999.97	1.05	2893.6720243193445
14	2024-12	7	65626	329177018.10	5015.954318	3271059.59	9999.93	1.00	2887.913483799648
15	2025-05	5	65579	329160308.41	5019.294415	3283102.00	10000.00	1.40	2879.394797868359
9	2025-01	4	65681	329156306.16	5011.438714	3279080.15	9999.83	1.04	2882.9452800670065
33	2024-10	6	65642	329144372.07	5014.234363	3293108.00	9999.26	1.54	2890.6739435401378
25	2025-03	0	65759	329127276.55	5005.052944	3285693.06	9999.95	1.37	2887.841527098134
31	2025-05	5	65677	329117301.58	5011.150046	3287646.71	9999.96	1.11	2887.042610470525
3	2024-08	6	65707	329110907.72	5008.764785	3273174.56	9999.70	1.76	2878.969101922314
31	2024-12	3	65790	329068356.35	5001.799002	3287638.12	9999.75	1.09	2887.795371785347
16	2024-10	1	65654	329059305.20	5012.022195	3280099.03	9999.85	1.04	2887.183433760434
1	2024-07	1	65750	329056484.23	5004.661357	3290756.98	9999.94	1.14	2883.617520063838
26	2024-07	7	65469	329042208.49	5025.923849	3278531.49	9999.96	1.15	2881.433894040104
16	2025-05	5	65686	329002512.03	5008.715891	3284725.34	9999.65	1.13	2885.648169761447
24	2024-07	7	65506	328964620.76	5021.900601	3271874.23	9999.95	1.15	2896.558420664003
5	2024-08	0	65396	328949725.51	5030.119969	3274518.91	9999.68	1.01	2896.410384226052
28	2025-01	0	65812	328931109.59	4998.041536	3280616.84	9999.98	1.01	2887.3203910152897
28	2025-05	2	65709	328916512.34	5005.653903	3282817.99	9999.98	1.47	2895.7844797722546
11	2024-10	6	65576	328881281.70	5015.269027	3281082.62	9999.93	1.05	2896.2795271960254
1	2024-08	4	65729	328842501.05	5003.004778	3288872.07	9999.69	1.48	2888.151007769264
23	2024-10	0	65433	328810428.96	5025.146775	3279447.07	9999.73	1.03	2895.9480702164406
17	2024-10	6	65510	328681220.47	5017.267905	3271621.22	9999.85	1.23	2886.140902207285
5	2024-08	3	65516	328678558.45	5016.767789	3277307.18	9999.99	1.61	2884.3763473604868
27	2024-12	2	65940	328665139.47	4984.306028	3293713.11	9999.78	1.14	2887.459307583949
12	2024-10	3	65502	328657846.42	5017.523838	3277622.47	9999.78	1.10	2889.1508831900524
7	2024-10	2	65555	328646563.52	5013.295149	3296313.19	9999.98	1.09	2883.827064311134
13	2025-05	3	65625	328629135.15	5007.682059	3275013.62	9999.72	1.06	2882.154884292815
12	2024-12	6	65388	328602557.16	5025.426029	3270102.91	9999.82	1.02	2879.497003358586
21	2024-07	6	65655	328599227.29	5004.938349	3286730.19	9999.92	1.15	2894.7897635771255
4	2024-07	0	65479	328569245.98	5017.933169	3275249.54	9999.94	1.39	2885.3823645818907
31	2025-03	1	65564	328559378.05	5011.277196	3270318.03	9999.99	1.79	2890.5685163754974
28	2024-12	2	65554	328558872.16	5012.033929	3291204.28	9999.88	1.13	2886.5496313232993
3	2024-08	4	65460	328552675.44	5019.136502	3273300.23	9999.64	1.14	2896.7229685975753
19	2024-08	5	65770	328538887.60	4995.269691	3282233.46	9999.95	1.00	2893.925052924785
17	2024-10	7	65615	328522911.79	5006.826363	3275473.28	9999.98	1.04	2887.128028306848
