F	8	50+	864000	2823213	14125492590.22	5003.339312
M	2	50+	864752	2824854	14125115104.19	5000.299167
M	7	50+	864108	2824260	14124773847.61	5001.230003
F	7	50+	864566	2824245	14122357154.45	5000.400870
M	0	50+	864353	2822555	14116147705.41	5001.194912
M	5	50+	864574	2821244	14111065795.91	5001.717610
M	1	50+	863332	2820696	14110742240.65	5002.574627
M	4	50+	863447	2821277	14109200487.80	5000.997948
F	0	50+	864437	2819764	14104388296.20	5001.974738
M	9	50+	862660	2818644	14095705638.41	5000.881856
M	3	50+	862880	2818272	14095298414.62	5001.397457
F	9	50+	863939	2820439	14095081778.31	4997.477974
F	4	50+	863665	2819403	14094531358.26	4999.119089
F	6	50+	863212	2818227	14088378887.23	4999.022040
F	3	50+	862988	2817212	14087423289.77	5000.483915
F	5	50+	861926	2816187	14080142678.08	4999.718654
M	6	50+	862505	2816293	14074377118.26	4997.483258
F	2	50+	861528	2813970	14070188240.98	5000.120201
F	1	50+	861946	2812900	14065688897.23	5000.422659
M	8	50+	860757	2811916	14060520448.93	5000.334451
F	8	35-50	719763	2351399	11761739063.60	5002.017549
M	2	35-50	719367	2350429	11760795193.79	5003.680262
M	5	35-50	719988	2351298	11758578118.61	5000.888071
M	0	35-50	720066	2351164	11756650260.53	5000.353127
F	3	35-50	719733	2350298	11752429327.58	5000.399663
F	4	35-50	719721	2349773	11750305813.97	5000.613172
F	7	35-50	719214	2350083	11750112198.07	4999.871153
F	9	35-50	719294	2347784	11742010034.95	5001.316150
M	6	35-50	719420	2348161	11740436590.77	4999.843107
M	3	35-50	719409	2348945	11740150817.96	4998.052665
M	9	35-50	719060	2347219	11737186038.31	5000.464822
M	4	35-50	718675	2347182	11736010106.88	5000.042650
F	1	35-50	719013	2347913	11735493400.45	4998.265864
F	0	35-50	718690	2346234	11734047561.25	5001.226460
M	8	35-50	717920	2345941	11726979388.02	4998.838158
M	1	35-50	718535	2345237	11726160472.73	4999.989542
F	5	35-50	717771	2344226	11724656527.21	5001.504346
F	6	35-50	718431	2345304	11722639128.66	4998.345259
F	2	35-50	718005	2344591	11721120740.81	4999.217663
M	7	35-50	717862	2343905	11713632377.47	4997.485981
F	7	25-35	481228	1573069	7865857875.30	5000.326035
F	6	25-35	480806	1571897	7858756056.05	4999.536265
M	5	25-35	480063	1568964	7847290208.32	5001.574420
F	5	25-35	480281	1569570	7846690310.68	4999.261142
F	9	25-35	479906	1568801	7846055894.57	5001.307301
F	4	25-35	479587	1566617	7838140095.23	5003.226759
M	3	25-35	479042	1565873	7833997000.13	5002.958094
M	2	25-35	479790	1565859	7828029373.71	4999.191737
M	6	25-35	479523	1565062	7825875597.04	5000.361390
M	4	25-35	479824	1565442	7824746465.16	4998.426301
M	7	25-35	479851	1565490	7824482555.70	4998.104463
M	9	25-35	479046	1563163	7821798971.73	5003.828118
F	8	25-35	478507	1564199	7820772176.73	4999.857548
F	1	25-35	478419	1562681	7818318763.85	5003.144445
M	8	25-35	478754	1564140	7818278055.47	4998.451581
F	3	25-35	479215	1563351	7817405706.03	5000.416225
F	2	25-35	478172	1562473	7812863927.03	5000.319319
M	0	25-35	478224	1560602	7807265012.41	5002.726520
F	0	25-35	477942	1561499	7803861513.04	4997.673078
M	1	25-35	477673	1560014	7800222889.01	5000.098005
F	5	<25	336910	1100719	5504255151.09	5000.599745
M	7	<25	336289	1098861	5495239723.09	5000.850629
F	6	<25	335288	1097809	5489386802.32	5000.311350
M	4	<25	336337	1097802	5487136875.63	4998.293750
M	3	<25	336361	1097452	5486879669.27	4999.653442
F	0	<25	335750	1098035	5485380347.67	4995.633425
F	9	<25	335932	1096966	5484321258.20	4999.536228
M	6	<25	335908	1096757	5483334193.54	4999.588964
F	7	<25	335747	1095631	5481571700.48	5003.118477
M	1	<25	335583	1096194	5480262639.90	4999.354713
F	3	<25	335473	1096679	5479980604.71	4996.886605
M	0	<25	335877	1096354	5479957530.81	4998.346821
M	9	<25	335227	1096130	5475949243.60	4995.711497
M	8	<25	334767	1094179	5474456294.22	5003.254764
M	2	<25	335074	1094936	5473315135.88	4998.753476
F	4	<25	335271	1094968	5472878099.15	4998.208257
F	8	<25	334827	1093829	5472504868.72	5003.071658
F	2	<25	334807	1092861	5465032358.46	5000.665554
M	5	<25	334667	1092450	5460991742.15	4998.848224
F	1	<25	334562	1091361	5460827246.53	5003.685533
