2	F	6826955	5981053	20476078	10443448861.31	4593.635586
23	M	6820613	5977068	20465836	10439905444.65	4604.354776
2	M	6818372	5977014	20450355	10430490601.75	4593.990849
23	F	6819642	5977038	20454170	10428914317.39	4604.142857
15	M	6811151	5971085	20433274	10418195065.36	4606.305508
4	F	6808045	5968436	20427367	10416386688.79	4593.407564
1	M	6807969	5968411	20421364	10414196459.24	4599.463039
32	F	6802478	5963604	20413193	10413868878.44	4600.882219
33	F	6805876	5965184	20419736	10413578369.19	4599.051501
3	M	6805442	5965834	20415969	10412512966.34	4600.616700
32	M	6804474	5966129	20410010	10412365727.41	4601.319145
15	F	6813691	5971335	20430951	10412054753.43	4607.513021
1	F	6807694	5966360	20418218	10412020891.24	4599.266647
33	M	6805046	5965861	20415022	10411768480.38	4598.888832
18	M	6803259	5963909	20412656	10411637640.16	4596.333997
11	M	6804920	5965925	20413352	10411072107.15	4593.776104
4	M	6804857	5965980	20409873	10410498773.34	4594.292453
7	F	6803208	5963568	20416249	10409493150.30	4607.059880
43	M	6804192	5965556	20409630	10409106649.89	4593.172612
43	F	6803293	5965186	20411736	10408627379.11	4594.070319
27	M	6804717	5965673	20408887	10408041104.14	4608.498478
7	M	6800453	5961130	20404716	10406536074.67	4608.994643
11	F	6803550	5964882	20407123	10405806756.40	4592.877477
36	M	6801727	5962938	20406717	10405789187.73	4605.776838
44	M	6801554	5962174	20402839	10404982903.88	4594.830218
20	M	6797349	5961123	20398842	10404916962.20	4592.151706
20	F	6801392	5962514	20406372	10403966050.72	4592.790532
44	F	6802899	5963093	20407468	10403593668.83	4593.253134
27	F	6800511	5963025	20400983	10402769923.55	4608.629172
18	F	6803963	5965641	20406304	10402333186.44	4594.738355
3	F	6801048	5963095	20398667	10399854218.59	4601.209474
36	F	6795836	5957806	20388965	10397943015.35	4606.442498
49	M	6794851	5957686	20385346	10397910243.92	4597.172970
49	F	6793581	5956962	20382607	10394353737.14	4595.845282
26	M	6792350	5955707	20377406	10393753306.34	4602.491267
26	F	6790144	5955238	20374760	10391627521.84	4600.324450
14	F	6791850	5956455	20374843	10390470152.88	4602.225880
46	F	6787603	5952381	20358565	10389193872.07	4604.226033
40	F	6790069	5955011	20369896	10389172315.57	4596.971242
19	F	6788684	5953383	20370751	10387529159.41	4590.401308
40	M	6789378	5952883	20363935	10387101489.98	4595.232556
41	F	6786188	5951027	20359383	10387086714.90	4601.260629
29	F	6786379	5950280	20360434	10386718871.71	4593.076915
30	M	6786462	5952518	20359792	10386463433.56	4600.293843
38	M	6786849	5952049	20365748	10385492879.29	4603.981330
14	M	6787198	5952118	20362142	10385227302.49	4601.647557
30	F	6787518	5952662	20362649	10384696435.32	4602.090281
37	F	6784676	5950262	20359685	10384406997.65	4596.162318
39	M	6788773	5953145	20361717	10384098750.99	4606.471005
25	M	6785117	5949837	20356284	10382870384.19	4595.986703
13	F	6787240	5952358	20359354	10382382032.23	4595.896376
10	M	6785293	5951418	20357730	10382079989.00	4608.779846
0	F	6788409	5953344	20361606	10382077277.96	4605.569602
39	F	6786517	5952015	20357929	10380740708.13	4605.333272
16	F	6785997	5951012	20357641	10380288048.10	4594.738977
38	F	6787048	5952836	20358624	10380204412.45	4603.018773
29	M	6786621	5951715	20357862	10380080043.47	4594.411703
16	M	6784654	5950353	20356716	10379920663.07	4595.665105
8	M	6783768	5949084	20351604	10379743823.99	4604.536931
19	M	6783526	5949543	20352896	10379545304.13	4591.629426
41	M	6785962	5951554	20357837	10379272826.88	4601.131759
5	M	6783915	5948572	20349274	10379179152.41	4602.521292
5	F	6783498	5949321	20350628	10379005490.48	4601.180870
8	F	6781633	5947746	20345413	10378213842.65	4604.236731
37	M	6783211	5949554	20350239	10378086121.82	4596.564876
13	M	6781061	5948233	20347637	10376732990.02	4595.325660
28	F	6782317	5949768	20348434	10375880630.16	4591.331559
46	M	6783672	5950476	20349281	10375746530.33	4603.992453
0	M	6783256	5949850	20351092	10375140563.64	4605.609935
6	M	6778235	5945153	20338900	10374835038.02	4600.185563
21	M	6781186	5947079	20337706	10373551283.70	4604.232726
22	M	6780198	5944815	20336549	10373550891.63	4597.966510
6	F	6777110	5942488	20333413	10373281398.07	4598.935124
28	M	6777429	5945506	20336860	10373043975.84	4593.995131
25	F	6780795	5947384	20344847	10371963481.65	4597.616698
45	M	6778804	5944728	20333489	10371701625.39	4600.323713
22	F	6778594	5946308	20332675	10370689000.00	4598.270889
10	F	6783700	5948182	20344836	10370503382.67	4605.763599
31	M	6773672	5941461	20324262	10368438109.55	4598.480699
45	F	6775804	5943943	20327597	10368333585.57	4601.510896
21	F	6776367	5944127	20331609	10366627695.48	4603.899381
24	M	6775712	5942886	20323966	10365494097.26	4606.359913
42	F	6773507	5942976	20321715	10365307009.00	4606.857917
42	M	6776773	5944092	20325434	10364959570.11	4607.751814
34	M	6771906	5940034	20314433	10362594916.47	4593.078916
9	M	6772986	5941514	20322075	10362149105.72	4598.653829
48	M	6769212	5939227	20304592	10361087407.74	4608.076472
24	F	6773460	5941692	20318548	10360233095.81	4605.230907
9	F	6769353	5938344	20309633	10359112871.17	4597.229182
47	F	6770599	5939203	20312310	10358985470.20	4591.150611
31	F	6771432	5940356	20315539	10356650083.88	4599.030549
47	M	6772990	5941101	20316389	10356291208.39	4591.902431
34	F	6767981	5937548	20305462	10355302624.66	4592.309615
48	F	6767649	5938195	20298258	10354044007.20	4608.880528
12	F	6765289	5935099	20299110	10353243606.12	4590.553269
35	M	6766431	5935950	20290005	10351468454.41	4606.011427
35	F	6767640	5937977	20298951	10351433515.69	4605.396361
12	M	6763924	5935290	20289112	10346618405.43	4591.938170
17	F	6759530	5930776	20280439	10342780021.31	4600.981837
17	M	6757420	5928904	20273764	10338083343.67	4602.214005
